Title,Text,전염성,치료제 개발 수치,가격
충혈,눈이 붉어지고 증상이 노출되기 쉽습니다,1,1,1
공격성 증가1,일상생활에서 공격성을 내비칩니다 증상이 노출되기 쉽지 않습니다,2,3,6
공격성 증가2,일상생활이 불가능해집니다 증상이 노출되기 쉽습니다,3,6,9
공격성 증가3,굶주린 맹수와 같은 수준의 공격성을 갖게 됩니다 증상이 노출됩니다,5,4,12
속도 증가1,평소보다 에너지가 넘치고 피곤함을 못느낍니다 증상이 노출되기 쉽지 않습니다,2,3,6
속도 증가2,마약을 한 것처럼 잠을 안자도 됩니다 증상이 노출되기 쉽습니다,3,6,9
속도 증가3,훨씬 빠르게 움직이게 됩니다 잠을 자지 않습니다 증상이 노출됩니다,5,4,12
지능 저하1,며칠 잠을 안 잔 듯 멍한 상태가 지속됩니다 증상이 노출되기 쉽지 않습니다,3,4,8
지능 저하2,어린아이와 같은 지능을 갖게 됩니다 증상이 노출되기 쉽습니다,4,5,10
지능 저하3,기본적인 대화도 되지 않습니다 동물과 같아집니다 증상이 노출됩니다,4,3,15
피부 반점,피부에 반점이 생깁니다 증상이 노출되기 쉽지 않습니다,5,1,6
소리 민감도 증가1,소리에 더 민감하게 반응하며 소리에 불편함을 느낍니다 증상이 노출되기 쉽습니다,3,4,8
소리 민감도 증가2,평소 못듣던 거리의 소리가 들립니다 증상이 노출됩니다,4,3,10
빛 민감도 증가1,평소보다 어두운 곳에 빠른 적응을 하게 됩니다 증상이 노출되기 쉽지 않습니다,2,3,6
빛 민감도 증가2,어두운 곳에서도 빛이 있는 것처럼 잘 보게 됩니다 증상이 노출되기 쉽지 않습니다,4,3,9
